Group name,n_mem,URL,Taxa,group,taxa_up
Butterfly Club Of Chittagong University (BCCU),498,https://m.facebook.com/groups/230135251079188/?ref=share&mibextid=S66gvF,Butterfly,1,Butterflies
Butterfly Host Plant -Bangladesh,640,https://web.facebook.com/groups/butterflyhostplant,Butterfly,2,Butterflies
Madhupur Butterfly Club,986,https://web.facebook.com/groups/1224788860875123,Butterfly,3,Butterflies
Butterfly Bangladesh,14900,https://m.facebook.com/groups/butterflybangladesh/?ref=share&mibextid=S66gvF,Butterfly,4,Butterflies
Dragonflies and Damselflies of Bangladesh,1300,https://m.facebook.com/groups/OdoBD/?ref=share&mibextid=S66gvF,Odonata,5,Odonatans
Amphibians of Bangladesh,597,https://m.facebook.com/groups/560709511527645/?ref=share&mibextid=S66gvF,Amphibia,6,Amphibians
Frogs of Bangladesh,1200,https://www.facebook.com/groups/737647699622375/,Frogs,7,Amphibians
Snake Saving Organisation Bangladesh (SSOBD),722,https://web.facebook.com/groups/1128007198037975,Snake,8,Reptiles
Snake Rescue & Wildlife Awareness Organization Rangpur,1300,https://web.facebook.com/groups/2756582297963846,Snake,9,Reptiles
Snakes of Bangladesh - SOBD,12500,https://web.facebook.com/groups/257190774491535,Snake,10,Reptiles
SNAKE RESCUE TEAM BANGLADESH - (SRTBD),21800,https://web.facebook.com/groups/snakerescueteambd,Snake,11,Reptiles
Snake Awareness,26400,https://web.facebook.com/groups/1445728405628658?_rdc=1&_rdr,Snake,12,Reptiles
Wildlife And Snake Rescue Team In Bangladesh-(WSRTBD).,67600,https://web.facebook.com/groups/www.wsrtbd.epizy.co,Snake,13,Reptiles
Amphibians and Reptiles of Dhaka City,1100,https://www.facebook.com/AmphibiansReptilesDhaka?mibextid=LQQJ4d,Herpetofauna,14,Herpetofauna
Mymensingh Bird Club(M.B.C),342,https://web.facebook.com/groups/301676280827515,Birds,15,Birds
Bird Colony Conservation in Bangladesh,835,https://web.facebook.com/groups/770587554236292,Birds,16,Birds
Pabna Bird Club (PBC),1200,https://web.facebook.com/groups/813728365477002,Birds,17,Birds
"Sherpur Bird Club, SBC",1300,https://web.facebook.com/groups/1916125795075478,Birds,18,Birds
Dhaka Birds Club (???? ?????? ?????),1500,https://web.facebook.com/groups/155494571520423,Birds,19,Birds
Big Bird Bangladesh,1900,https://web.facebook.com/groups/258050827680570,Birds,20,Birds
CHITTAGONG UNIVERSITY BIRD CLUB (CUBC),2100,https://web.facebook.com/groups/1425034907740252,Birds,21,Birds
"Faridpur Bird Club, FBC",3200,https://web.facebook.com/groups/1455734331137275,Birds,22,Birds
©©Thakurgaon Birds Club©©,3300,https://web.facebook.com/groups/1662028240726863,Birds,23,Birds
BIRDS & WILDLIFE OF BANGLADESH,3500,https://web.facebook.com/groups/906623289387542,Birds,24,Birds
Chittagong Bird Club (C.B.C),7600,https://m.facebook.com/groups/chittagongbirdclub/?ref=share&mibextid=S66gvF,Bird,25,Birds
Birds Club Of Bogra (B.C.O.B),9700,https://web.facebook.com/groups/885094048199339,Birds,26,Birds
Rajshahi Bird Club,14900,https://m.facebook.com/groups/RBC.RAJ/?ref=share&mibextid=S66gvF,Bird,27,Birds
??????? ????? ????? // Rajshahi Bird Club,14900,https://web.facebook.com/groups/RBC.RAJ,Birds,28,Birds
Birds of Bangladesh,110600,https://m.facebook.com/groups/2403154788/?ref=share&mibextid=S66gvF,Birds,29,Birds
Mammals Of Bangladesh,1600,https://m.facebook.com/groups/647662968655338/?ref=share&mibextid=S66gvF,Mammals,30,Mammals
Bangladesh Slow Loris Research & Conservation Project,1700,https://www.facebook.com/slowlorisbd?mibextid=LQQJ4d,Mammals,31,Mammals
Northeast Bangladesh Carnivore Conservation Initiative,1900,https://www.facebook.com/CarnivoreGuardiansBangladesh?mibextid=LQQJ4d,Mammals,32,Mammals
Nature Study & Conservation Club KMC,555,https://m.facebook.com/groups/1464918797148712/?ref=share&mibextid=S66gvF,All,33,Multiple taxa
Biodiversity of Bangladesh,868,https://m.facebook.com/groups/249240636186853/?ref=share&mibextid=S66gvF,All,34,Multiple taxa
Dragonflies and Damselflies of Bangladesh,1300,https://web.facebook.com/groups/OdoBD,Insects,35,Multiple taxa
Nature and Wildlife Conservation Community (NWCC),1300,https://m.facebook.com/groups/NWCC.BD/?ref=share&mibextid=S66gvF,All,36,Multiple taxa
Biodiversity Of Greater Kushtia,1900,https://m.facebook.com/groups/244807066739477/?ref=share&mibextid=S66gvF,All,37,Multiple taxa
Insects of Bangladesh (Entomology),3300,https://m.facebook.com/groups/437767799754673/?ref=share&mibextid=S66gvF,Insects,38,Multiple taxa
Pabna Photographic Society (PPS),4600,https://m.facebook.com/groups/1783775251889289/?ref=share&mibextid=S66gvF,All,39,Multiple taxa
Animal Lovers Of Patuakhali - ALP,6900,https://m.facebook.com/groups/2567322276837214/?ref=share&mibextid=S66gvF,All,40,Multiple taxa
Deep Ecology And Snake Conservation Foundation,132500,https://m.facebook.com/groups/959896627527624/?ref=share&mibextid=S66gvF,All,41,Multiple taxa
Wildlife ?????,145400,https://m.facebook.com/groups/hottiti/?ref=share&mibextid=S66gvF,All,42,Multiple taxa
